C64	3875	675	270
C77	3975	675	270
C65	4075	675	270
C66	4175	675	270
C70	4275	675	90
R125	4400	675	270
C76	4750	675	270
R132	3225	225	90
C90	3325	225	90
C89	3425	225	90
R131	3525	225	90
R135	3725	225	270
R138	3825	225	90
C67	3925	225	90
U26	4150	225	270
C68	4375	225	90
R118	4475	225	270
C92	4575	225	270
R137	4675	225	90
R136	4775	225	90



































































